0,Acanthorutilus handlirschi,Cicek (minnow),0
1,Accipiter fasciatus natalis,Christmas Island goshawk,1
2,Accipiter francesii pusillus,Anjouan Island sparrowhawk,1
3,Accipiter gentilis laingi,Queen Charlotte goshawk,1
4,Accipiter striatus venator,Puerto Rican sharp-shinned hawk,1
5,Achatinella spp.,Oahu tree snails,2
6,Acinonyx jubatus,Cheetah,3
7,Acipenser brevirostrum,Shortnose sturgeon,0
8,Acipenser medirostris,green sturgeon,0
9,Acipenser mikadoi,Sakhalin sturgeon,0
10,Acipenser naccarii,Adriatic sturgeon,0
11,Acipenser oxyrinchus (=oxyrhynchus) desotoi,Atlantic sturgeon (Gulf subspecies),0
12,Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,0
13,Acipenser sinensis,Chinese sturgeon,0
14,Acipenser sturio,European sturgeon,0
15,Acipenser transmontanus,White sturgeon,0
16,Acrocephalus familiaris kingi,Nihoa millerbird (old world warbler),1
17,Acrocephalus luscinia,Nightingale reed warbler (old world warbler),1
18,Acrocephalus percernis aquilonis,Eiao Marquesas reed-Warbler,1
19,Acropora cervicornis,Staghorn coral,4
20,Acropora globiceps,No common name,4
21,Acropora jacquelinae,No common name,4
22,Acropora lokani,No common name,4
23,Acropora palmata,Elkhorn coral,4
24,Acropora pharaonis,No common name,4
25,Acropora retusa,No common name,4
26,Acropora rudis,No common name,4
27,Acropora speciosa,No common name,4
28,Acropora tenella,No common name,4
29,Addax nasomaculatus,Addax,3
30,Adelocosa anops,Kauai cave wolf or pe'e pe'e maka 'ole spider,5
31,Aepyceros melampus petersi,Black-faced impala,3
32,Aerodramus vanikorensis bartschi,Mariana gray swiftlet,1
33,Agelaius xanthomus,Yellow-shouldered blackbird,1
34,Agelastes meleagrides,White-breasted guineafowl,1
35,Ailuropoda melanoleuca,Giant panda,3
36,Aipysurus fuscus,Dusky sea snake,6
37,Akialoa stejnegeri,Kauai akialoa (honeycreeper),1
38,Alasmidonta atropurpurea,Cumberland elktoe,7
39,Alasmidonta heterodon,Dwarf wedgemussel,7
40,Alasmidonta raveneliana,Appalachian elktoe,7
41,Alauda razae,Raso lark,1
42,Alcelaphus buselaphus swaynei,Swayne's hartebeest,3
43,Alcelaphus buselaphus tora,Tora hartebeest,3
44,Alethe choloensis,Thyolo alethe,1
45,Alligator mississippiensis,American alligator,6
46,Alligator sinensis,Chinese alligator,6
47,Alouatta palliata,Mantled howler monkey,3
48,Alouatta pigra,Black howler monkey,3
49,Amazilia luciae,Honduran emerald hummingbird,1
50,Amazona arausiaca,Red-necked parrot,1
51,Amazona brasiliensis,Red-tailed parrot,1
52,Amazona collaria,Yellow-billed parrot,1
53,Amazona guildingii,St Vincent parrot,1
54,Amazona imperialis,Imperial parrot,1
55,Amazona leucocephala,Bahaman or Cuban parrot,1
56,Amazona pretrei pretrei,Red-spectacled parrot,1
57,Amazona rhodocorytha,Red-browed parrot,1
58,Amazona versicolor,St. Lucia parrot,1
59,Amazona vinacea,Vinaceous-breasted parrot,1
60,Amazona vittata,Puerto Rican parrot,1
61,Amblema neislerii,Fat threeridge (mussel),7
62,Amblyopsis rosae,Ozark cavefish,0
63,Ambrysus amargosus,Ash Meadows naucorid,8
64,Ambystoma bishopi,Reticulated flatwoods salamander,9
65,Ambystoma californiense,California tiger Salamander,9
66,Ambystoma cingulatum,Frosted Flatwoods salamander,9
67,Ambystoma macrodactylum croceum,Santa Cruz long-toed salamander,9
68,Ambystoma tigrinum stebbinsi,Sonora tiger Salamander,9
69,Ameiva polops,St. Croix ground lizard,6
70,Ammodorcas clarkei,Clark's gazelle,3
71,Ammodramus maritimus mirabilis,Cape Sable seaside sparrow,1
72,Ammodramus savannarum floridanus,Florida grasshopper sparrow,1
